genome_id,antibiotic,resistant_phenotype,laboratory_typing_method
562.42808,ceftriaxone,Resistant,Broth dilution
562.23620,gentamicin,Susceptible,Agar dilution
562.42647,trimethoprim/sulfamethoxazole,Resistant,Broth dilution
562.45593,meropenem,Susceptible,Disk diffusion
562.96949,meropenem,Susceptible,Broth dilution
562.145036,ciprofloxacin,Susceptible,Disk diffusion
562.42818,ciprofloxacin,Resistant,Broth dilution
562.96879,meropenem,Susceptible,Broth dilution
562.99977,ceftazidime,Susceptible,Disk diffusion
562.100642,ceftazidime,Susceptible,Disk diffusion
562.98332,meropenem,Susceptible,Disk diffusion
562.45626,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.100446,ampicillin,Resistant,Disk diffusion
562.98235,gentamicin,Resistant,Disk diffusion
562.98736,ceftazidime,Susceptible,Disk diffusion
562.100690,ciprofloxacin,Susceptible,Disk diffusion
562.98715,ciprofloxacin,Resistant,Disk diffusion
562.97096,meropenem,Susceptible,Broth dilution
562.99714,gentamicin,Susceptible,Disk diffusion
562.7761,tetracycline,Susceptible,Broth dilution
562.99218,gentamicin,Susceptible,Disk diffusion
562.30349,gentamicin,Susceptible,Broth dilution
562.100188,ceftazidime,Susceptible,Disk diffusion
562.22908,ciprofloxacin,Susceptible,Agar dilution
562.98956,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.97493,ciprofloxacin,Resistant,Broth dilution
562.97178,gentamicin,Susceptible,Broth dilution
562.99747,trimethoprim/sulfamethoxazole,Resistant,Disk diffusion
562.64976,ampicillin,Susceptible,
562.97832,ceftazidime,Susceptible,Disk diffusion
562.99236,ceftazidime,Susceptible,Disk diffusion
562.57388,ceftazidime,Resistant,Broth dilution
562.99950,trimethoprim/sulfamethoxazole,Resistant,Disk diffusion
562.145039,ciprofloxacin,Susceptible,Disk diffusion
562.42761,ampicillin,Resistant,Broth dilution
562.99556,ciprofloxacin,Susceptible,Disk diffusion
562.7720,ceftriaxone,Susceptible,Broth dilution
562.7706,chloramphenicol,Susceptible,Broth dilution
562.100670,gentamicin,Susceptible,Disk diffusion
562.31451,ceftriaxone,Resistant,Disk diffusion
562.97410,ciprofloxacin,Susceptible,Broth dilution
562.30349,levofloxacin,Resistant,Broth dilution
562.145394,ciprofloxacin,Susceptible,Broth dilution
562.98415,meropenem,Susceptible,Disk diffusion
562.100662,trimethoprim/sulfamethoxazole,Resistant,Disk diffusion
562.22702,ciprofloxacin,Susceptible,Broth dilution
562.96647,ceftazidime,Susceptible,Broth dilution
562.98256,ampicillin,Susceptible,Disk diffusion
562.99134,ampicillin,Susceptible,Disk diffusion
562.100443,ciprofloxacin,Susceptible,Disk diffusion
562.22657,ampicillin,Resistant,Broth dilution
562.98288,gentamicin,Susceptible,Disk diffusion
562.99042,gentamicin,Susceptible,Disk diffusion
562.97059,gentamicin,Susceptible,Broth dilution
562.96513,meropenem,Susceptible,Broth dilution
562.57286,ceftazidime,Resistant,Broth dilution
562.99039,ciprofloxacin,Susceptible,Disk diffusion
562.100347,meropenem,Susceptible,Disk diffusion
562.100013,gentamicin,Susceptible,Disk diffusion
562.57373,ciprofloxacin,Resistant,Broth dilution
562.56784,ampicillin,Resistant,Disk diffusion
562.98136,meropenem,Susceptible,Disk diffusion
562.98862,ciprofloxacin,Susceptible,Disk diffusion
562.98538,gentamicin,Susceptible,Disk diffusion
562.99883,ciprofloxacin,Susceptible,Disk diffusion
562.145067,tetracycline,Susceptible,Disk diffusion
562.28132,trimethoprim/sulfamethoxazole,Resistant,Disk diffusion
562.98061,meropenem,Susceptible,Disk diffusion
562.100856,ampicillin,Susceptible,Disk diffusion
562.42740,gentamicin,Susceptible,Broth dilution
562.99772,ciprofloxacin,Susceptible,Disk diffusion
562.65791,ampicillin,Resistant,
562.45401,chloramphenicol,Resistant,Disk diffusion
562.57458,ampicillin,Resistant,Broth dilution
562.100058,ciprofloxacin,Susceptible,Disk diffusion
562.99786,ampicillin,Resistant,Disk diffusion
562.57384,ampicillin,Resistant,Broth dilution
562.97800,meropenem,Susceptible,Disk diffusion
562.23915,gentamicin,Susceptible,Agar dilution
562.98859,ceftazidime,Susceptible,Disk diffusion
562.98131,meropenem,Susceptible,Disk diffusion
562.57160,ciprofloxacin,Susceptible,Broth dilution
562.100662,ampicillin,Resistant,Disk diffusion
562.97802,gentamicin,Susceptible,Disk diffusion
562.58638,ceftriaxone,Susceptible,Disk diffusion
562.58621,trimethoprim/sulfamethoxazole,Resistant,Disk diffusion
562.7677,ampicillin,Susceptible,Broth dilution
562.7759,ampicillin,Susceptible,Broth dilution
562.7642,ceftazidime,Susceptible,Broth dilution
562.57138,gentamicin,Susceptible,Broth dilution
562.98133,ciprofloxacin,Susceptible,Disk diffusion
562.99540,ampicillin,Susceptible,Disk diffusion
562.98314,ceftazidime,Susceptible,Disk diffusion
562.7584,tetracycline,Resistant,Broth dilution
562.65452,ampicillin,Susceptible,
562.58752,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.145018,chloramphenicol,Susceptible,Disk diffusion
562.98402,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.23056,ceftazidime,Susceptible,Agar dilution
562.22700,ciprofloxacin,Resistant,Broth dilution
562.57093,ampicillin,Resistant,Broth dilution
562.97814,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.144257,ampicillin,Resistant,Broth dilution
562.145030,meropenem,Susceptible,Disk diffusion
562.97258,ciprofloxacin,Resistant,Broth dilution
562.7583,meropenem,Susceptible,Broth dilution
562.98770,ciprofloxacin,Susceptible,Disk diffusion
562.98417,ciprofloxacin,Resistant,Disk diffusion
562.22717,meropenem,Susceptible,Broth dilution
562.45675,levofloxacin,Resistant,Disk diffusion
562.22903,ceftazidime,Susceptible,Agar dilution
562.22929,ciprofloxacin,Susceptible,Agar dilution
562.42676,gentamicin,Resistant,Broth dilution
562.98798,gentamicin,Susceptible,Disk diffusion
562.56848,ceftazidime,Resistant,Disk diffusion
562.58770,gentamicin,Susceptible,Broth dilution
562.7726,chloramphenicol,Susceptible,Broth dilution
562.7738,ciprofloxacin,Susceptible,Broth dilution
562.97817,gentamicin,Susceptible,Disk diffusion
562.99358,ciprofloxacin,Susceptible,Disk diffusion
562.7669,ceftriaxone,Susceptible,Broth dilution
562.100406,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.7627,meropenem,Susceptible,Broth dilution
562.99191,ciprofloxacin,Susceptible,Disk diffusion
562.57276,ampicillin,Resistant,Broth dilution
562.98255,gentamicin,Susceptible,Disk diffusion
562.98957,ceftazidime,Susceptible,Disk diffusion
562.144969,chloramphenicol,Susceptible,Disk diffusion
562.99412,ciprofloxacin,Susceptible,Disk diffusion
562.135564,ampicillin,Resistant,Disk diffusion
562.23735,ciprofloxacin,Susceptible,Agar dilution
562.96473,ciprofloxacin,Susceptible,Broth dilution
562.100795,ciprofloxacin,Susceptible,Disk diffusion
562.7659,ceftazidime,Susceptible,Broth dilution
562.99337,meropenem,Susceptible,Disk diffusion
562.96983,gentamicin,Resistant,Broth dilution
562.98194,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.100205,ceftazidime,Resistant,Disk diffusion
562.98893,ceftazidime,Susceptible,Disk diffusion
562.96989,ciprofloxacin,Susceptible,Broth dilution
562.100615,trimethoprim/sulfamethoxazole,Resistant,Disk diffusion
562.100682,meropenem,Susceptible,Disk diffusion
562.99847,ciprofloxacin,Resistant,Disk diffusion
562.140837,trimethoprim/sulfamethoxazole,Resistant,Disk diffusion
562.97851,ceftazidime,Susceptible,Disk diffusion
562.7687,ceftazidime,Susceptible,Broth dilution
562.99468,ceftazidime,Susceptible,Disk diffusion
562.98448,meropenem,Susceptible,Disk diffusion
562.99398,ceftazidime,Susceptible,Disk diffusion
562.99236,ampicillin,Susceptible,Disk diffusion
562.96872,gentamicin,Susceptible,Broth dilution
562.145009,chloramphenicol,Susceptible,Disk diffusion
562.22632,ampicillin,Resistant,Broth dilution
562.97296,meropenem,Susceptible,Broth dilution
562.99035,gentamicin,Susceptible,Disk diffusion
562.23566,ceftazidime,Resistant,Agar dilution
562.23339,ceftazidime,Susceptible,Agar dilution
562.96818,ciprofloxacin,Susceptible,Broth dilution
562.97783,ciprofloxacin,Susceptible,Disk diffusion
562.140907,trimethoprim/sulfamethoxazole,Resistant,Disk diffusion
562.96813,meropenem,Susceptible,Broth dilution
562.97341,ciprofloxacin,Resistant,Broth dilution
562.100106,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.97224,meropenem,Susceptible,Broth dilution
562.7575,chloramphenicol,Susceptible,Broth dilution
562.23801,ciprofloxacin,Susceptible,Agar dilution
562.100497,ceftazidime,Resistant,Disk diffusion
562.58742,tetracycline,Resistant,Disk diffusion
562.7656,ceftazidime,Susceptible,Broth dilution
562.100697,meropenem,Susceptible,Disk diffusion
562.45625,meropenem,Susceptible,Disk diffusion
562.100027,ceftazidime,Susceptible,Disk diffusion
562.7782,trimethoprim/sulfamethoxazole,Resistant,Broth dilution
562.98755,ampicillin,Susceptible,Disk diffusion
562.96675,ciprofloxacin,Susceptible,Broth dilution
562.98184,ampicillin,Susceptible,Disk diffusion
562.144999,meropenem,Susceptible,Disk diffusion
562.45964,meropenem,Susceptible,Broth dilution
562.7652,ciprofloxacin,Susceptible,Broth dilution
562.98202,gentamicin,Susceptible,Disk diffusion
562.48345,tetracycline,Resistant,
562.98839,gentamicin,Susceptible,Disk diffusion
562.96495,ceftazidime,Resistant,Broth dilution
562.145388,trimethoprim/sulfamethoxazole,Susceptible,Broth dilution
562.23668,ciprofloxacin,Susceptible,Agar dilution
562.97922,ampicillin,Susceptible,Disk diffusion
562.100573,gentamicin,Susceptible,Disk diffusion
562.57328,ceftazidime,Susceptible,Broth dilution
562.96425,meropenem,Susceptible,Broth dilution
562.65587,ampicillin,Susceptible,
562.56786,ceftazidime,Resistant,Disk diffusion
562.99704,meropenem,Susceptible,Disk diffusion
562.100047,gentamicin,Susceptible,Disk diffusion
562.100314,gentamicin,Susceptible,Disk diffusion
562.48349,gentamicin,Susceptible,
562.99170,meropenem,Susceptible,Disk diffusion
562.96793,ciprofloxacin,Susceptible,Broth dilution
562.96506,meropenem,Susceptible,Broth dilution
562.98606,gentamicin,Susceptible,Disk diffusion
562.23879,ceftazidime,Susceptible,Agar dilution
562.100191,ampicillin,Susceptible,Disk diffusion
562.98577,ciprofloxacin,Susceptible,Disk diffusion
562.7721,gentamicin,Susceptible,Broth dilution
562.98465,ciprofloxacin,Susceptible,Disk diffusion
562.100106,ceftazidime,Susceptible,Disk diffusion
562.145378,chloramphenicol,Resistant,Broth dilution
562.145000,ceftriaxone,Susceptible,Disk diffusion
562.145403,ceftriaxone,Susceptible,Broth dilution
562.97370,ciprofloxacin,Susceptible,Broth dilution
562.7700,trimethoprim/sulfamethoxazole,Resistant,Broth dilution
562.99545,gentamicin,Susceptible,Disk diffusion
562.98281,meropenem,Susceptible,Disk diffusion
562.99734,gentamicin,Susceptible,Disk diffusion
562.56825,ampicillin,Resistant,Disk diffusion
562.97788,gentamicin,Susceptible,Disk diffusion
562.100448,ampicillin,Susceptible,Disk diffusion
562.97854,ciprofloxacin,Susceptible,Disk diffusion
562.23311,gentamicin,Resistant,Agar dilution
562.42738,meropenem,Susceptible,Broth dilution
562.42789,trimethoprim/sulfamethoxazole,Resistant,Broth dilution
562.97937,ciprofloxacin,Susceptible,Disk diffusion
562.100394,gentamicin,Susceptible,Disk diffusion
562.100271,ciprofloxacin,Susceptible,Disk diffusion
562.100687,ampicillin,Susceptible,Disk diffusion
562.56779,meropenem,Susceptible,Disk diffusion
562.99730,ceftazidime,Susceptible,Disk diffusion
562.23398,ceftazidime,Resistant,Agar dilution
562.42870,ampicillin,Resistant,Broth dilution
562.57436,ampicillin,Resistant,Broth dilution
562.96545,ceftazidime,Susceptible,Broth dilution
562.98313,ceftazidime,Susceptible,Disk diffusion
562.96730,gentamicin,Susceptible,Broth dilution
562.100079,ceftazidime,Susceptible,Disk diffusion
562.58721,gentamicin,Resistant,Broth dilution
562.98962,ceftazidime,Susceptible,Disk diffusion
562.23358,ceftazidime,Susceptible,Agar dilution
562.22710,ampicillin,Susceptible,Broth dilution
562.99008,trimethoprim/sulfamethoxazole,Resistant,Disk diffusion
562.56781,ampicillin,Resistant,Disk diffusion
562.97751,ciprofloxacin,Susceptible,Disk diffusion
562.96556,meropenem,Susceptible,Broth dilution
562.22520,meropenem,Susceptible,Broth dilution
562.99736,gentamicin,Susceptible,Disk diffusion
562.144949,ampicillin,Susceptible,Disk diffusion
562.98666,ceftazidime,Susceptible,Disk diffusion
562.100552,gentamicin,Susceptible,Disk diffusion
562.145429,chloramphenicol,Resistant,Broth dilution
562.100449,ampicillin,Resistant,Disk diffusion
562.100105,gentamicin,Susceptible,Disk diffusion
562.100593,ciprofloxacin,Susceptible,Disk diffusion
562.99079,meropenem,Susceptible,Disk diffusion
562.100642,ampicillin,Susceptible,Disk diffusion
562.145035,ceftriaxone,Susceptible,Disk diffusion
562.96956,ciprofloxacin,Susceptible,Broth dilution
562.99821,meropenem,Susceptible,Disk diffusion
562.7775,tetracycline,Resistant,Broth dilution
562.23282,ciprofloxacin,Resistant,Agar dilution
562.98981,gentamicin,Susceptible,Disk diffusion
562.65299,ampicillin,Susceptible,
562.145402,chloramphenicol,Resistant,Broth dilution
562.99207,gentamicin,Susceptible,Disk diffusion
562.23760,gentamicin,Resistant,Agar dilution
562.99408,ampicillin,Susceptible,Disk diffusion
562.7632,meropenem,Susceptible,Broth dilution
562.65041,ampicillin,Resistant,
562.22684,ceftazidime,Susceptible,Broth dilution
562.100204,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.99437,meropenem,Susceptible,Disk diffusion
562.98504,ciprofloxacin,Resistant,Disk diffusion
562.99773,meropenem,Susceptible,Disk diffusion
562.42673,ciprofloxacin,Resistant,Broth dilution
562.23213,gentamicin,Susceptible,Agar dilution
562.7660,ciprofloxacin,Resistant,Broth dilution
562.42857,gentamicin,Susceptible,Broth dilution
562.22881,gentamicin,Susceptible,Agar dilution
562.96673,meropenem,Susceptible,Broth dilution
562.100292,ceftazidime,Susceptible,Disk diffusion
562.96726,ceftazidime,Susceptible,Broth dilution
562.145385,chloramphenicol,Resistant,Broth dilution
562.42741,levofloxacin,Resistant,Broth dilution
562.99754,ceftazidime,Resistant,Disk diffusion
562.96651,meropenem,Susceptible,Broth dilution
562.98253,gentamicin,Susceptible,Disk diffusion
562.97943,ciprofloxacin,Susceptible,Disk diffusion
562.97863,ampicillin,Resistant,Disk diffusion
562.57167,ceftazidime,Susceptible,Broth dilution
562.100586,ceftazidime,Susceptible,Disk diffusion
562.98455,gentamicin,Susceptible,Disk diffusion
562.7622,trimethoprim/sulfamethoxazole,Susceptible,Broth dilution
562.140869,gentamicin,Susceptible,Disk diffusion
562.145055,ciprofloxacin,Susceptible,Disk diffusion
562.7746,ceftriaxone,Susceptible,Broth dilution
562.98896,ampicillin,Resistant,Disk diffusion
562.145029,ampicillin,Susceptible,Disk diffusion
562.96942,ceftazidime,Susceptible,Broth dilution
562.98568,ampicillin,Susceptible,Disk diffusion
562.100387,trimethoprim/sulfamethoxazole,Resistant,Disk diffusion
562.100855,ampicillin,Resistant,Disk diffusion
562.100478,ciprofloxacin,Susceptible,Disk diffusion
562.100122,gentamicin,Susceptible,Disk diffusion
562.99909,ampicillin,Susceptible,Disk diffusion
562.98069,meropenem,Susceptible,Disk diffusion
562.99019,ampicillin,Susceptible,Disk diffusion
562.100016,meropenem,Susceptible,Disk diffusion
562.100668,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.99937,ampicillin,Resistant,Disk diffusion
562.100609,ceftazidime,Susceptible,Disk diffusion
562.99857,ampicillin,Susceptible,Disk diffusion
562.98071,ceftazidime,Susceptible,Disk diffusion
562.57418,ceftazidime,Susceptible,Broth dilution
562.97826,ciprofloxacin,Susceptible,Disk diffusion
562.99956,ceftazidime,Susceptible,Disk diffusion
562.96782,meropenem,Susceptible,Broth dilution
562.144186,meropenem,Susceptible,Broth dilution
562.96673,gentamicin,Resistant,Broth dilution
562.99370,meropenem,Susceptible,Disk diffusion
562.57444,ceftazidime,Resistant,Broth dilution
562.98850,meropenem,Susceptible,Disk diffusion
562.99059,ampicillin,Resistant,Disk diffusion
562.96635,ciprofloxacin,Susceptible,Broth dilution
562.99036,ceftazidime,Susceptible,Disk diffusion
562.100241,ampicillin,Susceptible,Disk diffusion
562.98261,ampicillin,Susceptible,Disk diffusion
562.135561,tetracycline,Resistant,Disk diffusion
562.99911,ciprofloxacin,Susceptible,Disk diffusion
562.100232,meropenem,Susceptible,Disk diffusion
562.100907,trimethoprim/sulfamethoxazole,Resistant,Disk diffusion
562.99053,gentamicin,Susceptible,Disk diffusion
562.99849,ampicillin,Resistant,Disk diffusion
562.7694,meropenem,Susceptible,Broth dilution
562.99487,trimethoprim/sulfamethoxazole,Resistant,Disk diffusion
562.56910,ceftazidime,Resistant,Disk diffusion
562.99984,ciprofloxacin,Susceptible,Disk diffusion
562.42755,ciprofloxacin,Resistant,Disk diffusion
562.97779,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.58788,gentamicin,Susceptible,Broth dilution
562.45653,trimethoprim/sulfamethoxazole,Resistant,Disk diffusion
562.100288,meropenem,Susceptible,Disk diffusion
562.42763,ceftriaxone,Resistant,Broth dilution
562.7723,meropenem,Susceptible,Broth dilution
562.56811,ampicillin,Resistant,Disk diffusion
562.23467,gentamicin,Susceptible,Agar dilution
562.42740,trimethoprim/sulfamethoxazole,Susceptible,Broth dilution
562.23835,ceftazidime,Susceptible,Agar dilution
562.98567,gentamicin,Susceptible,Disk diffusion
562.100558,trimethoprim/sulfamethoxazole,Resistant,Disk diffusion
562.100639,ciprofloxacin,Susceptible,Disk diffusion
562.96663,ciprofloxacin,Resistant,Broth dilution
562.22696,ceftazidime,Susceptible,Broth dilution
562.99649,gentamicin,Susceptible,Disk diffusion
562.97989,gentamicin,Susceptible,Disk diffusion
562.97330,ciprofloxacin,Resistant,Broth dilution
562.99296,meropenem,Susceptible,Disk diffusion
562.100006,ciprofloxacin,Susceptible,Disk diffusion
562.96727,meropenem,Susceptible,Broth dilution
562.98782,ciprofloxacin,Resistant,Disk diffusion
562.23731,ciprofloxacin,Susceptible,Agar dilution
562.99205,ceftazidime,Susceptible,Disk diffusion
562.42675,tetracycline,Susceptible,Broth dilution
562.144961,ampicillin,Susceptible,Disk diffusion
562.42721,gentamicin,Susceptible,Broth dilution
562.99111,ciprofloxacin,Susceptible,Disk diffusion
562.98577,gentamicin,Susceptible,Disk diffusion
562.42837,meropenem,Susceptible,Broth dilution
562.98304,meropenem,Susceptible,Disk diffusion
562.96961,ciprofloxacin,Resistant,Broth dilution
562.98129,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.99239,ceftazidime,Susceptible,Disk diffusion
562.145068,ciprofloxacin,Susceptible,Disk diffusion
562.45629,ampicillin,Resistant,Disk diffusion
562.100079,gentamicin,Susceptible,Disk diffusion
562.23566,ciprofloxacin,Resistant,Agar dilution
562.7738,meropenem,Susceptible,Broth dilution
562.22950,ceftazidime,Susceptible,Agar dilution
562.19182,chloramphenicol,Susceptible,Disk diffusion
562.99843,ampicillin,Susceptible,Disk diffusion
562.97242,ciprofloxacin,Resistant,Broth dilution
562.99110,ciprofloxacin,Susceptible,Disk diffusion
562.98358,gentamicin,Susceptible,Disk diffusion
562.98820,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.99225,ciprofloxacin,Susceptible,Disk diffusion
562.97837,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.23739,ceftazidime,Susceptible,Agar dilution
562.45602,ciprofloxacin,Resistant,Disk diffusion
562.98702,gentamicin,Susceptible,Disk diffusion
562.45674,ceftriaxone,Susceptible,Disk diffusion
562.23808,gentamicin,Susceptible,Agar dilution
562.144306,meropenem,Susceptible,Broth dilution
562.98487,gentamicin,Susceptible,Disk diffusion
562.57169,ampicillin,Resistant,Broth dilution
562.45677,ceftriaxone,Resistant,Disk diffusion
562.99694,ciprofloxacin,Susceptible,Disk diffusion
562.99005,gentamicin,Susceptible,Disk diffusion
562.100245,ciprofloxacin,Susceptible,Disk diffusion
562.100581,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.42731,ceftriaxone,Resistant,Broth dilution
562.100138,ciprofloxacin,Susceptible,Disk diffusion
562.22570,gentamicin,Susceptible,Broth dilution
562.98409,ciprofloxacin,Susceptible,Disk diffusion
562.42711,ceftazidime,Resistant,Broth dilution
562.7777,ceftriaxone,Susceptible,Broth dilution
562.98680,ampicillin,Susceptible,Disk diffusion
562.97883,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.98536,ciprofloxacin,Susceptible,Disk diffusion
562.100780,ampicillin,Susceptible,Disk diffusion
562.97893,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.96560,gentamicin,Susceptible,Broth dilution
562.23218,gentamicin,Susceptible,Agar dilution
562.99041,ciprofloxacin,Susceptible,Disk diffusion
562.23312,ceftazidime,Susceptible,Agar dilution
562.98819,gentamicin,Susceptible,Disk diffusion
562.57145,ampicillin,Resistant,Broth dilution
562.140833,ampicillin,Resistant,Disk diffusion
562.99279,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.97892,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.7755,chloramphenicol,Susceptible,Broth dilution
562.99931,ampicillin,Resistant,Disk diffusion
562.98473,ceftazidime,Susceptible,Disk diffusion
562.98455,ceftazidime,Susceptible,Disk diffusion
562.7571,ceftazidime,Susceptible,Broth dilution
562.96614,ceftazidime,Susceptible,Broth dilution
562.98017,meropenem,Susceptible,Disk diffusion
562.58627,meropenem,Susceptible,Disk diffusion
562.100462,ciprofloxacin,Susceptible,Disk diffusion
562.42645,gentamicin,Susceptible,Broth dilution
562.7700,gentamicin,Susceptible,Broth dilution
562.22826,gentamicin,Susceptible,Broth dilution
562.7679,tetracycline,Resistant,Broth dilution
562.144964,chloramphenicol,Susceptible,Disk diffusion
562.42823,tetracycline,Susceptible,Broth dilution
562.97073,gentamicin,Susceptible,Broth dilution
562.42771,ceftriaxone,Resistant,Broth dilution
562.98980,ciprofloxacin,Susceptible,Disk diffusion
562.57173,ciprofloxacin,Susceptible,Broth dilution
562.98230,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.97146,gentamicin,Susceptible,Broth dilution
562.98847,ciprofloxacin,Susceptible,Disk diffusion
562.100673,ciprofloxacin,Susceptible,Disk diffusion
562.100790,gentamicin,Susceptible,Disk diffusion
562.97366,meropenem,Susceptible,Broth dilution
562.100468,gentamicin,Susceptible,Disk diffusion
562.145385,ceftriaxone,Resistant,Broth dilution
562.42766,gentamicin,Susceptible,Broth dilution
562.100209,trimethoprim/sulfamethoxazole,Susceptible,Disk diffusion
562.100067,meropenem,Susceptible,Disk diffusion
562.100618,gentamicin,Susceptible,Disk diffusion
562.98229,meropenem,Susceptible,Disk diffusion
562.96629,gentamicin,Susceptible,Broth dilution
562.97800,ceftazidime,Susceptible,Disk diffusion
562.99152,ampicillin,Resistant,Disk diffusion
562.23893,gentamicin,Susceptible,Agar dilution
562.100911,gentamicin,Susceptible,Disk diffusion
562.58754,ampicillin,Resistant,Disk diffusion
562.58752,gentamicin,Susceptible,Disk diffusion
562.99124,ceftazidime,Susceptible,Disk diffusion
562.98766,ampicillin,Resistant,Disk diffusion
562.100642,gentamicin,Susceptible,Disk diffusion
562.7739,ceftazidime,Susceptible,Broth dilution
562.99132,ceftazidime,Susceptible,Disk diffusion
562.99271,ceftazidime,Resistant,Disk diffusion
562.144225,gentamicin,Susceptible,Broth dilution
562.23394,ciprofloxacin,Susceptible,Agar dilution
562.23696,ceftazidime,Susceptible,Agar dilution
